sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is sitting on the bench leaning on a box of garbage bag.,assistiveness,none,none,none,careless,gets dirty,none,none,sad,to get up
there are clouds in the sky.,assistiveness,none,none,none,curious,none,none,none,happy,to be a tornado
there are people behind the boy.,assistiveness,none,none,none,sneaky,none,none,none,happy,to be in control
the man in the back is standing up beside the rock.,assistiveness,none,none,none,brave,none,to be noticed,none,happy,to get a drink
there is a boy sitting at a picnic table.,assistiveness,none,none,none,young,gets dirty,to eat,none,happy,to eat
he is leaning on a box that reads large garbage bags.,assistiveness,none,none,none,careless,gets dirty,none,none,sad,to get up
the boy has on a pair of gloves.,assistiveness,none,none,none,cold,gets cold,to be warm,to buy gloves,warm,to put the gloves on
he has head in his hand and is frowning.,assistiveness,none,none,none,confused,gets yelled at,none,none,guilty,to get away from the situation
behind him two boys have garbage bags.,assistiveness,none,none,none,mean,none,to have fun,to have a bag,sad,to clean up
they are picking up trash in the park.,assistiveness,none,none,none,careless,gets dirty,none,none,tired,to clean up the trash
