sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are a group of kids sitting around a table.,friendliness,none,none,to eat,social,none,to eat,to be at a table,happy,to eat
the first boy is leaning over the girl.,friendliness,none,none,to get away,mean,gets kissed,to kiss the girl,none,happy,to kiss the girl
he has his hand on his chin and he is smiling.,friendliness,none,none,none,curious,none,none,none,happy,to say something funny
the girl is looking up at him.,friendliness,none,none,none,curious,smiles,to be noticed,none,happy,to talk to the boy
her notebook is open and she is writing something.,friendliness,none,none,none,creative,none,to write,to have a notebook,happy,to read
the second boy leaning on a book.,friendliness,none,none,none,studious,none,to read,none,happy,to read
there are two other kids sitting across from the table.,friendliness,none,none,none,lonely,none,none,none,happy,to eat
the boy that leaning on his book is smiling.,friendliness,none,none,none,friendly,none,none,none,happy,to tell them something funny
the boy is standing in between the girl and the boy.,friendliness,none,confused,to get away,rude,gets yelled at,to be in control,to walk up to the girl,happy,to get away
the girl with the glasses is frowning.,friendliness,none,none,none,annoyed,none,none,none,annoyed,to get away from the girl
