sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are three kids outside.,attentiveness,none,none,none,young,none,none,none,happy,to have fun
the girl is sitting on the stairs.,attentiveness,none,none,none,scared,gets hurt,to be somewhere else,none,happy,to walk down the stairs
the girl is looking at the boy.,attentiveness,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to flirt
the girl is focused.,attentiveness,none,none,none,focused,none,none,none,accomplished,to get a job
the boy is looking at the girl.,attentiveness,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to ask her out
the boy is smiling.,attentiveness,none,none,none,friendly,none,none,none,happy,to smile
the boy is waving his arms in the air.,attentiveness,none,none,none,active,gets yelled at,to play,none,happy,to get attention
the boy almost hits the other boy.,attentiveness,none,hurt,to run away,mean,gets hurt,none,to be near the boy,angry,to apologize
the other boy is standing behind the boy.,attentiveness,none,none,to say hello,sneaky,none,to be sneaky,none,happy,to talk to the boy
the other boy is concerned.,attentiveness,none,none,to get away from personx,concerned,none,none,none,worried,to help the boy
the other boy s hand is in a blocking position.,attentiveness,none,none,to get past x,aggressive,gets yelled at,to be in a position of power,to be in a position to block,nervous,to get away
the friends are outside.,attentiveness,none,none,none,social,none,to have fun,to go outside,happy,to have fun
the girl is sitting on the steps.,attentiveness,none,none,none,brave,none,to be somewhere else,none,happy,to walk down the steps
the boys are standing up.,attentiveness,none,none,none,active,none,to be standing,none,good,to go to the bathroom
the boy in yellow pants is frowning.,attentiveness,none,none,none,mean,none,none,none,embarrassed,to look down
