sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the kids are at a concert.,politeness,none,none,none,fun,gets tired,to have fun,to buy tickets,happy,to have fun
the boy is frowning.,politeness,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the girl at the stand is.,politeness,none,none,none,interested,none,none,to go to the store,happy,to go to the store
taking tickets.,politeness,none,none,none,rich,gets a receipt,to have fun,to have money,excited,to go to the concert
the boy in the red is reaching in his bag.,politeness,none,none,none,curious,gets caught,to get something,to be in the wrong place,happy,to get the item
there are two boys standing outside of a room.,politeness,none,none,none,young,none,none,none,happy,to go to the room
the first boy is reaching into his bookbag.,politeness,none,none,none,curious,gets caught,to find something,to grab the book,excited,to get a book
he is glancing at the second boy.,politeness,none,none,none,curious,none,to be noticed,none,interested,to talk to the boy
the second boy is pointing into the room.,politeness,none,none,none,curious,none,to be noticed,none,curious,to tell them something
inside the room it s dim with disco lights everywhere.,politeness,none,none,none,careless,gets dizzy,none,none,happy,to get out of the room
a girl is sitting behind a table.,politeness,none,none,to talk to personx,sneaky,gets kissed,to eat,to walk to the table,happy,to talk to the girl
there is a line in front of her.,politeness,none,none,none,impatient,none,none,none,impatient,to get past the line
a girl is handing her something.,politeness,none,happy,to thank personx,helpful,gets a kiss,to be helpful,to be with someone,happy,to give her a kiss
