sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is looking at the snake statue.,attentiveness,none,none,none,curious,gets bitten,to see the snake,none,curious,to run away
the snake statue is shining.,attentiveness,none,none,none,proud,none,none,none,happy,to show off
there is a do not touch sign.,attentiveness,none,none,none,unskilled,none,none,none,bad,to avoid people
the statue has an informational card on it.,attentiveness,none,none,none,smart,none,to be informed,to have a pen,happy,to share information
the boy is smiling.,attentiveness,none,none,none,friendly,none,none,none,happy,to smile
the boy is leaning forward towards the art.,attentiveness,none,none,none,interested,gets yelled at,to be noticed,none,interested,to learn more
the boy has his hands behind the back.,attentiveness,none,none,none,sneaky,gets yelled at,to be safe,none,happy,to run away
the boy is looking at a piece of art.,attentiveness,none,none,none,curious,gets a picture,to learn,none,happy,to admire the painting
the boy is smiling.,attentiveness,none,none,none,friendly,none,none,none,happy,to smile
the boy is leaning over.,attentiveness,none,none,none,curious,gets yelled at,to be heard,none,happy,to get up
the piece of art is a green snake.,attentiveness,none,none,none,creative,none,none,none,happy,to sell the painting
