sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
they re in the library.,law-abiding,none,none,none,studious,none,to read,to go to the library,happy,to read
there are people sitting at tables.,law-abiding,none,none,none,social,none,to eat,none,happy,to eat
there are people sitting at a computer.,law-abiding,none,none,none,curious,none,to be entertained,to turn on the computer,interested,to play games
the man is putting up books.,law-abiding,none,none,none,smart,none,to be a librarian,to have books,accomplished,to read
the boy is standing at the desk.,law-abiding,none,none,none,determined,gets yelled at,to be in charge,none,happy,to get a job
the boy has a book and money in his hands.,law-abiding,none,none,none,prepared,gets a receipt,to be rich,to have money,happy,to spend the money
the boy is passing the items to the librarian the boy is grinning.,law-abiding,none,none,to ask personx questions,helpful,none,to be funny,to be a librarian,happy,to give the item back
the librarian is grinning.,law-abiding,none,none,none,amused,none,none,none,happy,to tell everyone about it
the librarian has her hand reaching out.,law-abiding,none,none,none,helpful,gets a book,to be helpful,none,helpful,to get a book
the boy in purple is looking at the boy in red.,law-abiding,none,none,none,curious,none,none,none,happy,to get away from the boy
