sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are three boys and a girl.,politeness,none,none,none,young,none,none,none,happy,to have a baby
the first boy is zig zagging through them.,politeness,none,none,none,daring,gets hurt,none,none,happy,to get to the end
his arm is out and he s pushing the second boy to the side.,politeness,none,hurt,to get away,mean,gets yelled at,to be a bully,to be playing,good,to get away
the third boy is running some distance away.,politeness,none,none,none,athletic,gets exercise,to be alone,to be in a race,happy,to get away
the girl is frowning.,politeness,none,none,none,annoyed,none,none,none,annoyed,to get away from the girl
the kids are outside.,politeness,none,none,none,caring,none,to play,to be with the kids,happy,to play
there is a game drew on the sidewalk.,politeness,none,none,none,athletic,gets called out,none,none,happy,to win
the game is hopscotch.,politeness,none,none,none,athletic,gets exercise,to have fun,none,happy,to win
the game is made of out chalk.,politeness,none,none,none,dumb,none,none,none,happy,to win
the boy that s running is smiling.,politeness,none,none,none,happy,none,none,none,happy,to smile
