sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy and his mom.,law-abiding,none,none,none,young,none,none,none,happy,to grow up
there is also a man behind the counter.,law-abiding,none,none,none,sneaky,none,none,none,happy,to get a job
he is putting something into a bag.,law-abiding,none,none,none,organized,none,to hide something,to pick up something,relieved,to put something in the bag
the boy is walking away from the counter.,law-abiding,none,none,none,scared,none,to get away,none,sad,to get a drink
he has something in his hands and he is smiling.,law-abiding,none,none,none,confident,none,to be successful,none,happy,to use it
the mom is looking at the boy.,law-abiding,none,none,to smile,curious,none,to see the boy,none,happy,to talk to the boy
the mom is frowning.,law-abiding,none,none,none,annoyed,none,none,none,annoyed,to get a drink
there is a lady next to the front entrance.,law-abiding,none,none,none,social,gets a kiss,none,none,happy,to get a date
there is a bookshelf next to the desk.,law-abiding,none,none,none,nerdy,none,none,none,content,to read
the mom has a stack of books in her hand.,law-abiding,none,none,none,studious,none,to read,none,anxious,to read
