sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is waving down the boy.,respect,none,surprised,to run away,rude,none,to be a bully,to be near the boy,happy,to get the boy 's attention
the bus drove past the boy.,respect,none,none,none,careless,none,none,none,indifferent,to go to school
the boy has on a backpack.,respect,none,none,none,prepared,none,to be prepared,to go to the store,prepared,to go to school
the bus is a school bus.,respect,none,none,none,normal,none,none,none,indifferent,to go to school
the boy is standing on the sidewalk.,respect,none,none,none,brave,none,none,none,happy,to get to the other side
the boy has both hands in the air.,respect,none,none,none,playful,gets hit,to play,none,happy,to play
the boy is frowning.,respect,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the boy is on the sidewalk.,respect,none,none,none,curious,none,none,none,happy,to go to the store
the boy is waving at the school bus.,respect,none,none,none,friendly,gets yelled at,to be noticed,to be walking,happy,to get to school on time
the school bus is going down the road.,respect,none,none,none,prepared,none,none,to get on the bus,happy,to get to school on time
