sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
they are in school.,attentiveness,none,none,none,young,gets scolded,none,none,happy,to go to class
the lockers are blue.,attentiveness,none,none,none,hurt,none,none,none,angry,to get out of the locker room
there is a man in the back.,attentiveness,none,none,none,strong,none,none,none,happy,to be alone
the man has a mop.,attentiveness,none,none,none,clean,none,to clean up,none,clean,to clean up
there are wet cautions signs on the floor.,attentiveness,none,none,none,careless,none,none,none,bad,to get rid of the evidence
the hallway floors are wet.,attentiveness,none,none,none,wet,none,none,none,wet,to clean up
the boy slips on the floor.,attentiveness,none,none,none,clumsy,breaks bone,none,none,hurt,to get up
the boy slips in between the signs.,attentiveness,none,none,none,clumsy,gets hurt,none,none,embarrassed,to get up
the boy has one hand on the floor.,attentiveness,none,none,none,clumsy,gets dirty,none,none,nervous,to get up
the boy has the other hand in the air.,attentiveness,none,none,to play,playful,gets yelled at,to play,none,happy,to play
there is a girl standing next to the wall.,attentiveness,none,none,none,attractive,gets a kiss,none,none,happy,to walk over to the wall
the girl is looking at the boy.,attentiveness,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to flirt
the girl is holding her hand against her chin.,attentiveness,none,none,none,nervous,gets slapped,to show affection,none,nervous,to kiss the girl
the girl looks worried.,attentiveness,none,none,none,worried,none,none,none,worried,to cry
the boy is falling.,attentiveness,none,none,none,clumsy,gets hurt,none,none,sad,to get up
the boy is frowning.,attentiveness,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
there s a wet floor sign on the floor.,attentiveness,none,none,none,careless,none,none,none,annoyed,to clean up
the kids are at school.,attentiveness,none,none,none,responsible,none,none,to be at school,happy,to play
