sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy and his father.,attentiveness,none,none,none,young,none,none,none,happy,to grow up
the boy is on the floor.,attentiveness,none,none,none,clumsy,gets hurt,none,none,sad,to get up
"there are papers , leaves , sticky notes and a board laying on the floor.",attentiveness,none,none,none,careless,none,none,none,bad,to write a letter
his father is standing in the doorway with his hands on his hips.,attentiveness,none,none,none,bold,gets yelled at,to be polite,none,happy,to walk away
through his bedroom window it is dark.,attentiveness,none,none,none,quiet,none,none,none,worried,to go to bed
the alarm clock on the bedside drawer reads 1100.,attentiveness,none,none,none,sleepy,wakes up,to wake up early,to have a clock,awake,to wake up early
there is a book on the boy s bed.,attentiveness,none,none,none,curious,none,none,to go to the library,happy,to read
there is a sticky note handing on the footboard.,attentiveness,none,none,none,careless,none,none,none,bad,to get a towel
the boy is frowning.,attentiveness,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the dad is frowning.,attentiveness,none,none,none,annoyed,none,none,none,upset,to get a drink
the dad has on his pajamas.,attentiveness,none,none,none,sleepy,gets scolded,to be comfortable,to put on pajamas,comfortable,to sleep
